Codigo_Accidente,Formulario,Direccion,Fecha_Acc,Dia_Semana_Acc,Hora_Acc,Min_Acc,Localidad,Clase_Acc,Elemento_Choque,Tipo_Objeto_Fijo,Gravedad_Indicador_Tradicional,Gravedad_indicador_30d,
10591454,A001571090,DG 67 B - KR 114 A 02,2023-05-24,Miércoles,20,20,ENGATIVA,Choque,Objeto Fijo,Valla - Señal,Solo Daños,Solo Daños,
10596409,A001576115,CL 29 A S- KR 30  02,2023-09-26,Martes,18,10,ANTONIO NARIÑO,Caida de ocupante,Desconocido,Desconocido,Con Heridos,Con Heridos,
10596442,A001576304,CL 80 - KR 69 B 02,2023-09-26,Martes,5,7,ENGATIVA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10596443,A001574273,KR 89 - CL 38 S 02,2023-09-23,Sábado,20,35,KENNEDY,Choque,Vehículo,Desconocido,Solo Daños,Solo Daños,
10596553,A001576631,CL 8 S- KR 40  02,2023-09-29,Viernes,16,0,PUENTE ARANDA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10597061,A001614164,AK 86 - CL 40 B S 02,2023-10-11,Miércoles,21,45,KENNEDY,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10597063,A001614143,KR 80 - CL 36 S 02,2023-10-11,Miércoles,3,0,KENNEDY,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10597074,A001574267,CL 5 - KR 78 S 02,2023-10-11,Miércoles,11,0,KENNEDY,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10597600,A001613891,KR 73 A - CL 72 A 02,2023-10-20,Viernes,11,53,ENGATIVA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10597603,A001613757,CL 72 - KR 81 A 02,2023-10-24,Martes,12,15,ENGATIVA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10597604,A001613406,KR 80 - CL 46 S 02,2023-10-25,Miércoles,17,53,KENNEDY,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10597608,A001613662,KR 67 - CL 59 S 02,2023-10-24,Martes,18,10,CIUDAD BOLIVAR,Caida de ocupante,Desconocido,Desconocido,Con Heridos,Con Heridos,
10597611,A001613682,KR 11 - CL 75  02,2023-10-25,Miércoles,15,15,CHAPINERO,Caida de ocupante,Desconocido,Desconocido,Con Heridos,Con Heridos,
10597871,A001604554,KR 17 A - CL 73 A 02,2023-11-03,Viernes,16,26,CIUDAD BOLIVAR,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10598234,A001604679,KR 78 B - CL 35 S 02,2023-11-10,Viernes,16,15,KENNEDY,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10598236,A001604746,KR 25 - CL 17  02,2023-11-08,Miércoles,11,57,LOS MARTIRES,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10598237,A001604747,CL 1 - KR 24  02,2023-11-11,Sábado,6,9,LOS MARTIRES,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
